Year,City,Sport,Athlete,Country,Gender,Event,Medal
1998,Nagano,Skiing,"STEGGALL, Zali",AUS,Women,Slalom,Bronze
2002,Salt Lake City,Skiing,"CAMPLIN, Alisa",AUS,Women,Aerials,Gold
2006,Turin,Skiing,"CAMPLIN, Alisa",AUS,Women,Aerials,Bronze
2010,Vancouver,Skiing,"LASSILA, Lydia",AUS,Women,Aerials,Gold
2010,Vancouver,Skiing,"BRIGHT, Torah",AUS,Women,Half-Pipe,Gold
2014,Sochi,Skiing,"LASSILA, Lydia",AUS,Women,Aerials,Bronze
2014,Sochi,Skiing,"BRIGHT, Torah",AUS,Women,Half-Pipe,Silver
1924,Chamonix,Skating,"SZABO-PLANK, Herma",AUT,Women,Individual,Gold
1924,Chamonix,Skating,"ENGELMANN, Helene",AUT,Women,Pairs,Gold
1928,St.Moritz,Skating,"BURGER, Fritzi",AUT,Women,Individual,Silver
1928,St.Moritz,Skating,"BRUNNER, Melitta",AUT,Women,Pairs,Bronze
1928,St.Moritz,Skating,"SCHOLZ, Lilly",AUT,Women,Pairs,Silver
1932,Lake Placid,Skating,"BURGER, Fritzi",AUT,Women,Individual,Silver
1936,Garmisch Partenkirchen,Skating,"PAUSIN, Ilse",AUT,Women,Pairs,Silver
1948,St.Moritz,Skating,"PAWLIK, Eva",AUT,Women,Individual,Silver
1948,St.Moritz,Skiing,"MAHRINGER, Erika",AUT,Women,Alpine Combined,Bronze
1948,St.Moritz,Skiing,"BEISER-JOCHUM, Trude",AUT,Women,Alpine Combined,Gold
1948,St.Moritz,Skiing,"HAMMERER, Resi",AUT,Women,Downhill,Bronze
1948,St.Moritz,Skiing,"BEISER-JOCHUM, Trude",AUT,Women,Downhill,Silver
1948,St.Moritz,Skiing,"MAHRINGER, Erika",AUT,Women,Slalom,Bronze
1952,Oslo,Skiing,"BEISER-JOCHUM, Trude",AUT,Women,Downhill,Gold
1952,Oslo,Skiing,"ROM, Dagmar",AUT,Women,Giant Slalom,Silver
1956,Cortina d'Ampezzo,Skating,"WENDL, Ingrid",AUT,Women,Individual,Bronze
